N3.2.1.2.4.7.7,42° 53′ N,8° 46′ W
N3.2.1.2.4.17.3,32° 33′ 33″ N.,16° 49′ W
N3.2.1.2.4.22.7,77° 18″.
N3.2.1.2.6.4.7,30° 11′ N
N3.2.1.2.6.5.5,17° 22′
N3.2.1.2.6.5.7,16° 30′
N3.2.1.2.6.6.7,16 N,21° 51′ W
N3.2.1.2.6.7.3,14° 6′ N,22° 10′ W
N3.2.1.2.6.9.3,12° 14′,22° 10′
N3.2.1.2.6.12.5,8° 25′ N,22° 4′ W
N3.2.1.2.6.12.9,7° 58′,22° 13′
N3.2.1.2.6.13.6,1° 7′ N,28° 50′
N3.2.1.2.6.17.5,10° 38′ S,32° 13′ 43″ W.
N3.2.1.2.6.18.5,19° 3′ S,35° 50′ W
N3.2.1.2.8.7.5,47° 17′ S,61° 29′ 45″ W.
N3.2.1.2.12.9.3,53° 40′ 41″
N3.2.1.2.14.12.7,68° 15′
N3.2.1.2.14.14.5,55° 53′ S,68° 13′ W
N3.2.1.2.14.14.9,60° 10′,74° 30′ W
N3.2.1.2.14.15.5,49° 32′,90° 37′
N3.2.1.2.14.16.5,3 and ½ to the n
N3.2.1.2.15.4.5,38° 44′ S,110° 33′ W
N3.2.1.2.15.6.7,22° 11′S,127° 55′W
N3.2.1.2.15.15.8,18° 47′ S,139° 28′ W
N3.2.1.2.15.16.3,18° 35′ S,139° 48′ W
N3.2.1.2.15.18.3,18° 23′ S,141° 12′ W
N3.2.1.2.15.20.3,18° 12′ S,142° 42′ W
N3.2.1.2.15.26.3,17° 48′ S,143° 35′ W
N3.2.1.2.15.27.7,17° 23′ S,145° 54′ W
N3.2.1.2.15.28.5,17° 48′ S,148° 10′ W
N3.2.1.2.26.19.3,17° 29′ 15″,149° 32′ 30″ W.
N3.2.1.2.40.12.7,16° 43′ S,150° 52′ W
N3.2.1.2.40.50.3,16° 10′,150° 57′
N3.2.1.2.40.50.5,16° 55′ S,150° 57′
N3.2.1.2.40.60.3,22° 27′ S,150° 47′ W
N3.2.1.2.41.5.7,38° 20′ S,147° 6′ W
N3.2.1.2.41.6.5,40° 22′ S,174° 29′ W
N3.2.1.2.41.8.5,29°,159° 29′
N3.2.1.2.41.8.13,33° 18′,162° 51′
N3.2.1.2.41.9.5,28° 59′,169° 5′
N3.2.1.2.41.9.15,37° 10′,172° 54′ W
N3.2.1.2.41.9.21,36° 56′,173° 27′
N3.2.1.2.43.4.3,38° 42′ S,181° 36′ W
