Hitchhikers Anywhere	London	spray_paint
Don't Forget your Scarf	other place	spray_paint
I Love You	other place	spray_paint
Ice Cream Bomb	other place	spray_paint
Injured Buddha	London	spray_paint
Interest in People	other place	spray_paint
Jack & Jill	other place	canvas
Javelin Thrower	London	spray_paint
Exit Through The Gift Shop	other place	installation
Keep your Coins, I want Change	other place	spray_paint
Lenin Punk	other place	spray_paint
London Calling	London	spray_paint
Louvre Museum Prank	other place	installation
Dismaland	other place	installation
Hammer Boy	New York	spray_paint
Happy Choppers	other place	canvas
Marks And Stencils	London	installation
May Day	London	installation
Mobile Phone Lovers	other place	spray_paint
MOCA	other place	installation
Modern Art	other place	spray_paint
Monkey Queen	other place	canvas
Morons	other place	canvas
Napalm Girl	London	spray_paint
Napalm	other place	canvas
New Orleans	other place	installation
Crying Woman	other place	spray_paint
No Ball Games Rat	London	spray_paint
Peace Is Though	other place	installation
Police Sniper	other place	spray_paint
Santa's Ghetto 05	London	installation
Photo Opportunity	other place	spray_paint
Pulp Fiction	other place	canvas
Rat Couple	other place	spray_paint
Santa's Ghetto 03	London	installation
Take this Society	London	spray_paint
Seal Mural	New York	spray_paint
Secured	other place	spray_paint
Snorting Copper	London	spray_paint
Queen Victoria	other place	canvas
Stained Window 	other place	spray_paint
Rivington Street	other place	installation
Swing Girl	other place	spray_paint
Tap Phoned	London	spray_paint
Santa's Ghetto 04	London	installation
The Cans Festival	London	installation
The Mild Mild West	other place	spray_paint
Santa's Ghetto 07	other place	installation
The Simpsons	other place	installation
Season's Greetings	other place	spray_paint
Security Guard with Pink Balloon	other place	spray_paint
Semipermanent	other place	installation
Gorilla Artist	London	spray_paint
Slave Labour	London	spray_paint
Sorry, The Lifestyle you Ordered	London	spray_paint
Space Girl with Bird	other place	spray_paint
Stop and Search	other place	spray_paint
Stormtroopers Filming Oscars	other place	spray_paint
Love Is In The Air	other place	canvas
Love is the Answer	other place	spray_paint
Gun Clown	other place	spray_paint
Girl With Balloon	other place	canvas
Forgive Our Trespassing	other place	spray_paint
Laugh Now	other place	spray_paint
London Museum Prank	London	installation
Looting Soldiers	other place	spray_paint
Kentucky Fox	London	spray_paint
Grim Reaper	other place	canvas
Love Rat	other place	canvas
Follow your Dreams - Canceled	other place	spray_paint
Flying Balloon Girl	other place	spray_paint
Fridge Kite	other place	spray_paint
Tate Britain Prank	London	installation
Gangsta Rat	London	spray_paint
Gas Mask Wearing Musicians	other place	spray_paint
Gaza Kitty	other place	spray_paint
Get Out While You Can	other place	canvas
Ghetto for Life	New York	spray_paint
Girl and Mouse	other place	spray_paint
Girl with Balloon	London	spray_paint
Girl with Skipping Rope	other place	spray_paint
GlastonBury	other place	installation
Go Flock Yourself	other place	spray_paint
Golf Sale	other place	canvas
Gorilla With Pink Mask	other place	spray_paint
